"region","country_iso3","city","year","status_institute","language","subsidiaries_in","main_institute_in","open1","close1","open2","close2","open3","close3","open_before_1965"
7,"BRA","Pelotas",1969,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BOL","Potosi",1972,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Sao Paulo",1981,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"COL","Bogota",1993,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BOL","Cochabamba",1998,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Brasilia",1966,0,0,NA,NA,1970,1998,NA,NA,NA,NA,0
7,"BOL","Sucre",1969,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"BRA","Sao Jose do Rio Preto",1976,0,0,NA,NA,1972,1973,1974,1975,NA,NA,0
7,"ARG","Cordoba",1996,3,2,NA,NA,1967,NA,NA,NA,NA,NA,0
7,"BRA","Sao Jose do Rio Preto",1981,0,0,NA,NA,1972,1973,1974,1975,NA,NA,0
7,"ARG","Villa Ballester",2005,0,0,NA,NA,1971,1972,1973,1974,1977,1982,0
7,"BOL","Potosi",1966,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Cordoba",2008,3,2,NA,NA,1967,NA,NA,NA,NA,NA,0
7,"BOL","Potosi",2007,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","San Juan",1999,0,0,NA,NA,1971,1994,NA,NA,NA,NA,0
7,"ARG","Martinez",1987,0,0,NA,NA,1971,1974,1975,1982,NA,NA,0
7,"BOL","Sucre",1975,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"CHL","Valparaiso",1979,2,2,NA,"Santiago",1965,1994,NA,NA,NA,NA,1
7,"BOL","Oruro",2008,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Santa Cruz",2008,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Goiania",1982,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"ARG","Mendoza",1974,3,2,"San Juan",NA,1965,1997,NA,NA,NA,NA,1
7,"BRA","Valladares",1986,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"ARG","Buenos Aires",2004,3,2,NA,NA,1965,NA,NA,NA,NA,NA,0
7,"BOL","Sucre",2011,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"COL","Medellin",1968,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BOL","Tarija",1975,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Ouro Preto",2012,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"COL","Medellin",1978,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Pelotas",2011,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Recife",2005,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"CHL","Antofagasta",1983,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Mendoza",1986,3,2,NA,NA,1965,1997,NA,NA,NA,NA,1
